Movie,trunc,Share Of Number One Market,Number One Market
Alice in Wonderland,Alice in Wonderland,20.9%,Japan
Toy Story 3,Toy Story 3,20.2%,Japan
Harry Potter and the Deathly Hallows: Part I,Harry Potter and the,10.6%,United Kingdom
Inception,Inception,14.4%,China
Shrek Forever After,Shrek Forever After,3.5%,Australia
The Twilight Saga: Eclipse,The Twilight Saga: E,5.3%,Australia
Tangled,Tangled,10.9%,Germany
Clash of the Titans,Clash of the Titans,5.9%,South Korea
The Chronicles of Narnia: The Voyage of the Daw…,The Chronicles of Na,,
Iron Man 2,Iron Man 2,7.8%,South Korea
Despicable Me,Despicable Me,10.9%,United Kingdom
The King’s Speech,The King’s Speech,19.4%,United Kingdom
How to Train Your Dragon,How to Train Your Dr,8.9%,South Korea
Prince of Persia: Sands of Time,Prince of Persia: Sa,,Denmark
Resident Evil: Afterlife,Resident Evil: After,0.1%,Kuwait
Tron: Legacy,Tron: Legacy,4.9%,Australia
Black Swan,Black Swan,4.8%,South Korea
Robin Hood,Robin Hood,,
The Tourist,The Tourist,,
Sex and the City 2,Sex and the City 2,,
Gulliver's Travels,Gulliver's Travels,0.0%,Nigeria
The Last Airbender,The Last Airbender,,
Knight and Day,Knight and Day,,
The Karate Kid,The Karate Kid,,
Megamind,Megamind,0.1%,Lithuania
Salt,Salt,4.8%,Australia
Shutter Island,Shutter Island,4.6%,Australia
The Expendables,The Expendables,2.9%,Brazil
Little Fockers,Little Fockers,,
The Sorcerer's Apprentice,The Sorcerer's Appre,,
Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the ,,
The Social Network,The Social Network,7.4%,Australia
Eat Pray Love,Eat Pray Love,7.5%,Australia
Step Up 3D,Step Up 3D,,
Due Date,Due Date,,
Grown Ups,Grown Ups,7.4%,Australia
Valentine's Day,Valentine's Day,,
Red,Red,,
Yogi Bear,Yogi Bear,6.2%,Brazil
The A-Team,The A-Team,,
Paranormal Activity 2,Paranormal Activity ,,
Saw 3D,Saw 3D,0.0%,New Zealand
Wall Street 2: Money Never Sleeps,Wall Street 2: Money,,
Unstoppable,Unstoppable,,
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardi,,
True Grit,True Grit,,Australia
The Wolfman,The Wolfman,,
Hereafter,Hereafter,,
Predators,Predators,,
Sammy's avonturen: De geheime doorgang,Sammy's avonturen: D,,
Love and Other Drugs,Love and Other Drugs,,
Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Rev,,
The Bounty Hunter,The Bounty Hunter,,
Nanny McPhee and the Big Bang,Nanny McPhee and the,,
Oceans,Oceans,0.0%,Italy
Fei Cheng Wu Rao 2,Fei Cheng Wu Rao 2,,
Haeundae,Haeundae,,
The Book of Eli,The Book of Eli,,
Green Zone,Green Zone,,
Dear John,Dear John,,
The Town,The Town,,
Piranha 3D,Piranha 3D,0.0%,Lebanon
Marmaduke,Marmaduke,,
A Nightmare on Elm Street,A Nightmare on Elm S,0.0%,New Zealand
Jackass 3D,Jackass 3D,11.8%,Australia
Date Night,Date Night,,
Konferenz der Tiere,Konferenz der Tiere,,
Tooth Fairy,Tooth Fairy,,
Life as We Know It,Life as We Know It,,
Le Petit Nicolas,Le Petit Nicolas,4.0%,Germany
The Other Guys,The Other Guys,,
Burlesque,Burlesque,11.7%,Australia
The Ghost Writer,The Ghost Writer,,
Kick-Ass,Kick-Ass,0.1%,Peru
Killers,Killers,,
Frozen,Frozen,100.0%,Germany
Hachiko: A Dog’s Story,Hachiko: A Dog’s Sto,,
Skyline,Skyline,,
The Next Three Days,The Next Three Days,,
Dabangg,Dabangg,94.4%,India
Vampires Suck,Vampires Suck,,
Shi Yue Wei Cheng,Shi Yue Wei Cheng,1.6%,South Korea
Joheunnom nabbeunnom isanghannom,Joheunnom nabbeunnom,,
127 Hours,127 Hours,,
Ajeossi,Ajeossi,100.0%,South Korea
Di Renjie,Di Renjie,99.8%,China
Edge of Darkness,Edge of Darkness,,
Tau ming chong,Tau ming chong,,
Agora,Agora,,
My Name is Khan,My Name is Khan,0.3%,Hong Kong
Bayside Shakedown 3: Set the Guys Loose,Bayside Shakedown 3:,,
The Back-up Plan,The Back-up Plan,,
Remember Me,Remember Me,,
Luftslottet som sprängdes,Luftslottet som sprä,,Canada
The Fighter,The Fighter,,
You Will Meet a Tall Dark Stranger,You Will Meet a Tall,0.4%,Australia
Camping 2,Camping 2,,
L'arnacouer,L'arnacouer,,
El secreto de sus ojos,El secreto de sus oj,,
The American,The American,,
Get Him to the Greek,Get Him to the Greek,,
Golmaal 3,Golmaal 3,,
The Last Song,The Last Song,,
Devil,Devil,,
The Last Exorcism,The Last Exorcism,8.1%,Italy
Letters to Juliet,Letters to Juliet,12.0%,South Korea
From Paris With Love,From Paris With Love,0.0%,Bolivia
Robot,Robot,,
Morning Glory,Morning Glory,,
Legion,Legion,,
Raajneeti,Raajneeti,,
Going the Distance,Going the Distance,,
Alpha and Omega,Alpha and Omega,,
Tees Maar Khan,Tees Maar Khan,,
Soul Kitchen,Soul Kitchen,0.0%,Bulgaria
The Spy Next Door,The Spy Next Door,,
Three Kingdoms: Resurrection of the Dragon,Three Kingdoms: Resu,,
The Switch,The Switch,,
"Io, Loro e Lara","Io, Loro e Lara",,
Furry Vengeance,Furry Vengeance,0.3%,Portugal
Daybreakers,Daybreakers,,
Mao's Last Dancer,Mao's Last Dancer,5.1%,Brazil
"I Love You, Phillip Morris","I Love You, Phillip ",,
The Nutcracker in 3D,The Nutcracker in 3D,,
Buried,Buried,0.3%,United Arab Emirates
Machete,Machete,,
How Do You Know?,How Do You Know?,,
71: Into the Fire,71: Into the Fire,,
[Rec] 2,[Rec] 2,,
Un Prophète,Un Prophète,0.9%,South Korea
Easy A,Easy A,22.1%,Australia
The Oxford Murders,The Oxford Murders,0.1%,South Korea
Micmacs,Micmacs,,
Housefull,Housefull,,
The Crazies,The Crazies,,
Charlie St. Cloud,Charlie St. Cloud,,
Boodanggeorae,Boodanggeorae,100.0%,South Korea
Another Year,Another Year,15.0%,United Kingdom
She's Out of My League,She's Out of My Leag,2.7%,Portugal
Scott Pilgrim vs. The World,Scott Pilgrim vs. Th,13.1%,Australia
Let Me In,Let Me In,,
Le hérisson,Le hérisson,,Canada
Hot Tub Time Machine,Hot Tub Time Machine,,
Hubble 3D,Hubble 3D,13.0%,Australia
Case 39,Case 39,,
Kites,Kites,,
The Kids Are All Right,The Kids Are All Rig,0.3%,Venezuela
Once Upon a Time in Mumbai,Once Upon a Time in ,,
Somewhere,Somewhere,3.0%,Australia
Anjaana Anjaani,Anjaana Anjaani,,
Raavan,Raavan,,
Made in Dagenham,Made in Dagenham,5.8%,Germany
I Hate Luv Storys,I Hate Luv Storys,,
Vykrutasy,Vykrutasy,,
Dinner for Schmucks,Dinner for Schmucks,,
Diary of a Wimpy Kid,Diary of a Wimpy Kid,,
Takers,Takers,,
Faster,Faster,,
Fair*Game,Fair*Game,,
Brooklyn's Finest,Brooklyn's Finest,0.0%,Bolivia
Beauty and the Beast,Beauty and the Beast,,
Splice,Splice,,
Action Replayy,Action Replayy,,
When in Rome,When in Rome,,
Khatta Meetha,Khatta Meetha,,
Cop Out,Cop Out,,
Samyy luchshiy film 3,Samyy luchshiy film ,,
Les Tuche,Les Tuche,,
Looking for Eric,Looking for Eric,,
Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey ,,
Harry Brown,Harry Brown,,
Io sono l’amore,Io sono l’amore,11.8%,Australia
Chloe,Chloe,0.2%,Bolivia
Snabba Cash,Snabba Cash,,
